year,state,corridor,county,fatalities,truck_involved,truck_tractor_involved,land_use,roadway,latitude,longitude
2022,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,33.08113889,-80.654605560
2022,SC,I-95,FLORENCE (41),1,True,True,Rural,I-95 EXIT RAMP,34.26430278,-79.732300000
2022,SC,I-26,RICHLAND (79),1,True,True,Rural,I-26,34.17027778,-81.301230560
2022,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95,33.45661389,-80.478966670
2022,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.84057778,-79.967452780
2022,SC,I-26,RICHLAND (79),1,False,False,Urban,I-26,34.03837500,-81.098544440
2022,SC,I-26,CHARLESTON (19),1,True,False,Urban,I-26 RAMP,32.93973889,-80.050702780
2022,SC,I-95,DILLON (33),1,True,True,Rural,I-95,34.34029722,-79.537930560
2022,SC,I-95,COLLETON (29),1,False,False,Urban,I-95,32.90484444,-80.703044440
2022,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.57618056,-80.934250000
2022,SC,I-26,BERKELEY (15),1,False,False,Rural,I-26,33.10765000,-80.254100000
2022,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.53680833,-80.954727780
2022,SC,I-26,ORANGEBURG (75),1,False,False,Rural,I-26,33.36491111,-80.598250000
2022,SC,I-26,ORANGEBURG (75),1,True,True,Rural,I-26,33.53379722,-80.803438890
2022,SC,I-95,ORANGEBURG (75),1,True,True,Rural,I-95,33.48499722,-80.471341670
2022,SC,I-95,CLARENDON (27),1,False,False,Rural,I-95,33.72719722,-80.223327780
2022,SC,I-95,CLARENDON (27),2,False,False,Rural,I-95,33.77849167,-80.170922220
2022,SC,I-95,ORANGEBURG (75),1,True,True,Rural,I-95,33.48939444,-80.469922220
2022,SC,I-26,DORCHESTER (35),1,False,False,Rural,I-26,33.18590278,-80.384830560
2022,SC,I-26,LEXINGTON (63),1,False,False,Urban,I-26,34.04905278,-81.122311110
2022,SC,I-26,LEXINGTON (63),1,True,True,Rural,I-26,33.77312222,-80.977577780
2022,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26 RAMP,32.87011111,-80.009244440
2022,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.95139444,-80.061486110
2022,SC,I-95,DILLON (33),1,True,True,Rural,I-95,34.32892500,-79.569600000
2022,SC,I-95,DILLON (33),1,True,True,Rural,I-95,34.30961944,-79.614752780
2022,SC,I-26,RICHLAND (79),1,False,False,Urban,I-26,34.02450278,-81.103241670
2022,SC,I-26,ORANGEBURG (75),1,False,False,Rural,I-26,33.42688611,-80.686972220
2022,SC,I-26,NEWBERRY (71),1,False,False,Rural,I-26,34.32707778,-81.602111110
2022,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.24236111,-81.142161110
2022,SC,I-26,NEWBERRY (71),1,True,True,Rural,I-26,34.32610833,-81.600263890
2022,SC,I-95,DILLON (33),1,False,False,Rural,I-95,34.31835556,-79.591186110
2022,SC,I-26,ORANGEBURG (75),1,False,False,Rural,I-26,33.34338056,-80.574661110
2022,SC,I-26,DORCHESTER (35),1,False,False,Rural,I-26,33.25568333,-80.473322220
2022,SC,I-95,FLORENCE (41),1,False,False,Urban,I-95,34.22378611,-79.805652780
2022,SC,I-26,RICHLAND (79),1,False,False,Urban,I-26,34.02494444,-81.103036110
2022,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.25686111,-81.099061110
