tier	traffic	risk	months_stale	type	locale	byline	url	risk_flags
P2	0	14	1	practice_area	en	y	/medical-malpractice-lawyers/columbia-sc/	statute,fault,sol,damages,medspecials
P2	0	14	1	practice_area	en	y	/medical-malpractice-lawyers/charleston-sc/	statute,fault,sol,damages,medspecials
P2	0	14	1	practice_area	en	y	/slip-and-fall-lawyers/myrtle-beach-sc/	statute,fault,sol,damages,premises
P2	0	14	1	practice_area	en	y	/slip-and-fall-lawyers/columbia-sc/	statute,fault,sol,damages,premises
P2	0	14	1	practice_area	en	y	/slip-and-fall-lawyers/charleston-sc/	statute,fault,sol,damages,premises
P2	0	14	1	page	en	-	/south-carolina-car-accident-lawyers/	statute,fault,sol,damages,medspecials
P2	0	14	1	page	en	-	/south-carolina-personal-injury-lawyer/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/boys-estate-glynn-county-best-car-accident-lawyer/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/green-grove-dorchester-road-atv-accident-lawyer-north-charleston/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/chicora-cherokee-carner-avenue-us-52-car-accident-attorney-north-charleston/	statute,seatbelt,fault,damages,medspecials
P2	0	14	0	post	en	y	/blog/st-andrews-road-widewater-18-wheeler-accident-lawyer-richland-county/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/mount-pleasant-mark-clark-expressway-i-526-motorcycle-accident-lawyer/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/park-circle-east-montague-drunk-driving-accident-lawyer-north-charleston/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/sunset-boulevard-west-columbia-drunk-driver-accident-lawyer/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/mount-pleasant-johnnie-dodds-us-17-wrongful-death-car-accident-lawyer/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/hit-and-run-drunk-driver-crashes-ashley-river-road-sc-61-west-ashley-greenwood-park/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/i-77-truck-accident-northeast-columbia-richland-county/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/i-526-mount-pleasant-wando-bridge-accident/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/liens-and-your-personal-injury-claims/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/maximum-medical-improvement-in-an-injury-claim/	statute,fault,sol,damages,premises
P2	0	14	0	post	en	y	/blog/why-wont-a-personal-lawyer-take-my-case/	statute,fault,sol,premises,medspecials
P2	0	14	0	post	en	y	/blog/tips-for-choosing-a-motor-vehicle-accident-attorney/	statute,fault,sol,damages,medspecials
P2	0	14	0	post	en	y	/blog/how-long-personal-injury-case-charleston-sc/	statute,fault,sol,damages,premises
P2	0	13	5	practice_area	en	y	/spinal-cord-injury-lawyers/spinal-cord-injury-car-accident/	statute,seatbelt,fault,sol
P2	0	13	5	practice_area	en	y	/atv-side-by-side-accident-lawyers/atv-product-defect/	statute,seatbelt,fault,sol
P2	0	13	5	practice_area	en	y	/product-liability-lawyers/defective-auto-parts/	statute,seatbelt,fault,sol
P2	0	13	4	post	en	y	/blog/liability-for-sudden-emergency-accidents/	statute,seatbelt,fault,sol
P2	0	13	4	post	en	y	/blog/benefits-of-an-accident-reconstruction-expert/	statute,seatbelt,fault,sol
P2	0	13	4	post	en	y	/blog/golf-cart-accidents-charleston-island-resort-communities/	statute,seatbelt,fault,sol
P2	0	13	4	post	en	y	/blog/savannah-highway-truck-accidents-west-ashley-us-17/	statute,seatbelt,fault,sol
P2	0	13	3	resource	en	y	/resources/carolina-crossroads-construction-zone-truck-accidents/	statute,seatbelt,fault,sol
P2	0	13	3	resource	en	y	/resources/i-526-construction-zone-truck-accidents-charleston/	statute,seatbelt,fault,sol
P2	0	13	3	resource	en	y	/resources/i-16-i-95-construction-zone-truck-accidents/	statute,seatbelt,fault,sol
P2	0	13	1	resource	en	y	/resources/south-carolina-comparative-negligence/	statute,seatbelt,fault,sol
P2	0	13	1	practice_area	en	y	/golf-cart-accident-lawyers/myrtle-beach-sc/	statute,seatbelt,fault,sol
P2	0	13	1	practice_area	en	y	/golf-cart-accident-lawyers/columbia-sc/	statute,seatbelt,fault,sol
P2	0	13	1	practice_area	en	y	/golf-cart-accident-lawyers/charleston-sc/	statute,seatbelt,fault,sol
P2	0	13	1	page	en	-	/south-carolina-motorcycle-accident-lawyer/	statute,seatbelt,fault,sol
P2	0	12	5	practice_area	en	y	/spinal-cord-injury-lawyers/spinal-fracture/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/spinal-cord-injury-lawyers/herniated-ruptured-disc/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/spinal-cord-injury-lawyers/tetraplegia-quadriplegia/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/spinal-cord-injury-lawyers/paraplegia/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/spinal-cord-injury-lawyers/incomplete-spinal-cord-injury/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/spinal-cord-injury-lawyers/complete-spinal-cord-injury/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/brain-injury-lawyers/closed-head-injury/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/brain-injury-lawyers/concussion-mild-tbi/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/bicycle-accident-lawyers/right-hook-left-cross-collision/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/bicycle-accident-lawyers/dooring-accident/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/burn-injury-lawyers/chemical-burn-injury/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/boating-accident-lawyers/dock-marina-injury/	statute,fault,sol,premises
P2	0	12	5	practice_area	en	y	/boating-accident-lawyers/jet-ski-personal-watercraft/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/product-liability-lawyers/defective-industrial-equipment/	statute,seatbelt,fault,damages
P2	0	12	5	practice_area	en	y	/product-liability-lawyers/dangerous-pharmaceutical-drug/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/wrongful-death-lawyers/pedestrian-cyclist-fatality/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/motorcycle-accident-lawyers/rear-end-motorcycle-accident/	statute,seatbelt,fault,damages
P2	0	12	5	practice_area	en	y	/motorcycle-accident-lawyers/head-on-motorcycle-collision/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/car-accident-lawyers/rear-end-collision/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/pedestrian-accident-lawyers/darien-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/pedestrian-accident-lawyers/savannah-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/premises-liability-lawyers/darien-ga/	statute,fault,sol,premises
P2	0	12	5	practice_area	en	y	/premises-liability-lawyers/savannah-ga/	statute,fault,sol,premises
P2	0	12	5	practice_area	en	y	/boating-accident-lawyers/darien-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/boating-accident-lawyers/savannah-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/product-liability-lawyers/darien-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/product-liability-lawyers/savannah-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/maritime-injury-lawyers/darien-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/maritime-injury-lawyers/savannah-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/spinal-cord-injury-lawyers/darien-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/spinal-cord-injury-lawyers/savannah-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/wrongful-death-lawyers/darien-ga/	statute,fault,sol,medspecials
P2	0	12	5	practice_area	en	y	/wrongful-death-lawyers/savannah-ga/	statute,fault,sol,medspecials
P2	0	12	5	practice_area	en	y	/medical-malpractice-lawyers/darien-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/motorcycle-accident-lawyers/darien-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/motorcycle-accident-lawyers/savannah-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/truck-accident-lawyers/darien-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/car-accident-lawyers/darien-ga/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/practice-areas/product-liability-lawyers/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/practice-areas/spinal-cord-injury-lawyers/	statute,fault,sol,damages
P2	0	12	5	practice_area	en	y	/practice-areas/wrongful-death-lawyers/	statute,fault,sol,damages
P2	0	12	4	post	en	y	/blog/fmcsa-violations-truck-accident-claims/	statute,fault,sol,damages
P2	0	12	4	post	en	y	/blog/independent-medical-exams/	statute,fault,sol,premises
P2	0	12	4	post	en	y	/blog/resolving-claims-through-arbitration/	statute,fault,sol,premises
P2	0	12	4	post	en	y	/blog/car-insurance-add-ons/	statute,fault,sol,medspecials
P2	0	12	4	post	en	y	/blog/driving-record-and-injury-claim/	statute,fault,sol,damages
P2	0	12	4	post	en	y	/blog/animal-accident-insurance-coverage/	statute,fault,sol,premises
P2	0	12	4	post	en	y	/blog/georgia-statute-of-limitations/	statute,fault,sol,premises
